cmp_id,party_id
63321,120
63110,751
63320,1253
63901,2630
63622,215
63330,1306
63710,2258
63621,154
63620,1411
63810,184
63410,2259
42710,1536
42430,2255
42110,1429
42420,50
42220,769
42421,955
42120,2651
42520,1013
42320,973
42951,2150
21320,167
21522,1192
21521,723
21912,969
21913,290
21915,290
21111,161
21112,1594
21430,221
21426,915
21916,501
21421,1110
21230,256
21420,63
21424,640
21710,438
21422,454
21520,1051
21322,1378
21911,460
21321,1029
21221,1113
21914,993
80330,2364
80630,2362
80220,982
80901,599
80813,1375
80810,2173
80812,2177
80221,1160
80229,1160
80610,57
80951,1286
80510,1541
80320,710
80228,1160
80902,544
80710,535
80811,353
80411,784
80620,636
80061,2363
80410,423
80051,1254
80640,2637
62901,448
62623,1255
62110,1259
62420,368
62320,296
62620,794
62621,897
62951,1392
81714,2809
81711,276
81712,1384
81810,1465
81410,1102
81713,1044
81957,2134
81952,2135
81230,2182
81953,1627
81042,1102
81411,1457
81961,2628
81460,2615
81240,2810
81450,2614
81440,2195
81310,90
81310,2771
81245,90
81245,2771
81955,2196
81910,2133
81222,90
81222,2771
81220,1493
81221,90
81221,2771
81112,90
81112,2771
81960,2612
55321,572
55422,851
55711,1575
55720,1768
55430,491
55610,2626
55110,1621
55322,945
55423,1523
55421,2784
55340,2341
82430,2263
82953,2261
82320,789
82901,77
82951,19
82220,1173
82529,1245
82523,1245
82521,440
82221,2224
82420,1218
82412,1123
82413,829
82410,743
82710,872
82610,2024
82110,196
82721,2654
82530,2
82421,688
82720,2262
82952,336
13110,2567
13330,1324
13220,1239
13720,1418
13953,412
13410,211
13421,538
13229,306
13221,367
13951,978
13620,590
13520,1331
13001,376
13422,1478
13730,2781
13952,1606
13320,1629
13230,1644
13420,1605
13210,189
83411,1137
83713,486
83612,417
83952,1590
83711,552
83430,113
83440,2409
83110,219
83611,1597
83709,846
83710,846
83410,1448
83610,2893
83610,1395
83712,1064
83220,486
83421,450
83901,25
14222,229
14620,1118
14420,1219
14440,2801
14430,1009
14820,200
14901,585
14221,1292
14810,94
14520,1463
14320,395
14310,1108
14110,1062
31523,885
31110,873
31720,270
31111,650
31522,1491
31240,2644
31626,658
31624,509
31529,213
31521,1086
31630,1058
31220,686
31421,401
31230,1492
31320,1539
31625,138
31425,2643
31623,898
31622,1414
31621,1094
31430,2273
41953,2253
41911,1131
41113,772
41521,1727
41620,912
41712,187
41522,137
41223,791
41420,543
41951,1507
41112,255
41220,649
41952,865
41320,558
41711,1420
34730,2091
34720,2092
34213,2093
34314,720
34711,2780
34510,489
34410,2165
34610,1027
34210,614
34214,2596
34710,1179
34511,47
34313,1338
34512,1412
34020,1592
34212,1592
34211,1441
34340,2346
34215,2742
86811,1183
86221,1970
86810,870
86710,600
86522,434
86110,403
86521,546
86620,95
86320,418
86220,1591
86111,2349
86422,1426
86421,921
15220,1360
15320,228
15321,988
15440,2204
15621,828
15430,587
15953,2632
15810,1455
15420,506
15630,2655
15952,2205
15328,1006
15322,53
15951,147
15620,1342
15450,2633
15111,210
15323,205
15710,1172
53714,92
53810,923
53221,1580
53620,280
53520,1393
53110,1573
53981,2776
53320,318
53220,433
53230,1014
53231,1804
53420,651
53951,2217
53321,2619
72415,1863
72531,265
72325,1343
72312,615
72903,805
72614,249
72951,1873
72427,279
72624,1357
72622,678
72610,938
72220,387
72901,1150
72222,390
72613,976
72431,2320
72412,1471
72310,305
72410,188
72625,1816
72430,1870
72041,2725
72450,2410
72320,244
72326,1419
72411,765
72530,214
72311,1168
72615,980
72534,31
72425,61
72224,732
72322,767
72413,1850
72623,106
72533,788
72532,588
72620,1204
72612,1660
72414,1269
72535,1303
72440,2321
72428,277
72420,1472
32710,831
32903,927
32522,627
32521,99
32901,488
32211,1424
32110,910
32110,1304
32610,596
32630,2154
32952,927
32951,366
32720,1436
32902,693
32640,927
32310,1296
32329,1048
32955,1246
32421,1005
32956,2155
32611,1287
32213,1661
32212,1321
32440,382
32210,968
32420,487
32520,1633
32410,93
32330,242
32320,1475
32451,2737
32953,399
32321,630
32460,2156
32230,465
32904,1030
71626,1382
71660,2136
71710,2404
71620,1193
71420,1165
71625,462
71627,2656
71630,4
71410,1124
71321,1053
71624,439
71640,163
71640,247
71220,1540
71952,1327
71430,2136
71110,2785
71440,2657
71111,2069
71320,940
71322,86
71621,170
71530,837
71622,547
71650,163
71650,247
71953,1175
71951,1146
71623,1136
87723,521
87042,2878
87430,384
87411,759
87423,1518
87640,2717
87431,550
87730,2715
87520,239
87710,1557
87521,1043
87041,662
87901,2366
87311,1656
87310,309
87320,1042
87810,1368
87951,928
87071,801
87630,2365
87422,1520
87061,1667
87220,32
87021,1100
87410,526
87722,267
87610,811
87421,32
87721,203
87062,1666
87110,466
87620,1942
88440,581
88952,2121
88451,2805
88430,983
88710,432
88420,887
88220,519
88522,1144
88951,28
88523,1447
88450,482
88322,2763
88320,1277
88320,1408
88820,191
88810,1632
88410,856
88460,1421
88041,1421
88630,1502
88620,1045
88621,1045
23951,1582
23520,1234
23112,310
23113,310
23230,457
23420,967
23111,1158
23220,151
23320,701
54320,1003
54620,984
22953,2109
22954,112
22523,300
22820,2824
22711,209
22525,405
22521,235
22526,1206
22210,1194
22330,345
22524,402
22321,2641
22730,2642
22527,625
22110,756
22731,2823
22522,451
22430,744
22720,456
22230,1452
22320,742
22951,990
22722,1501
22310,342
22528,212
22220,357
22952,1251
22420,1409
22235,2735
64420,617
64110,1171
64902,1972
64901,114
64951,1636
64621,891
64320,878
64620,997
64422,354
64321,1444
64421,1313
12320,104
12410,1209
12951,351
12620,1435
12520,1538
12110,2254
12220,27
12810,702
12221,81
12420,647
92620,1355
92901,1019
92520,334
92710,548
92420,1544
92720,2600
92021,180
92713,987
92953,900
92320,108
92450,2601
92522,696
92712,181
92435,512
92811,664
92433,1691
92810,619
92521,369
92436,528
92523,1710
92621,148
92440,1945
92622,207
92210,629
92321,18
92211,1216
92432,1549
92322,838
92455,2740
35211,557
35520,251
35720,2789
35229,1295
35410,2788
35130,2374
35310,1281
35220,514
35951,82
35710,107
35312,341
35313,1273
35311,725
35120,1781
35210,260
93420,2647
93411,356
93111,1639
93221,419
93810,1299
93530,958
93112,792
93540,2395
93430,1015
93521,888
93981,2130
93714,2098
93712,713
93320,1601
93713,562
93222,307
93711,648
93951,948
93440,2646
93322,1120
96431,1624
96424,1200
96420,1000
96711,1142
96222,44
96720,586
96521,1432
96954,2246
96955,1620
96712,1228
96610,1645
96620,1759
96630,2624
96440,1460
96523,131
96522,313
96710,1072
96725,2623
96423,220
96221,527
96220,1415
96952,559
96422,1016
96111,874
96430,1061
96210,1563
97951,1587
97430,143
97450,1988
97230,2670
97421,1252
97341,2668
97340,1987
97522,1047
97330,179
97521,16
97710,981
97320,179
97322,706
97460,2337
97952,1512
97461,2333
97440,326
97020,2334
97321,706
97110,1619
33098,2607
33908,520
33915,2792
33512,637
33420,2375
33907,234
33911,2605
33611,894
33096,2606
33097,2604
33905,757
33901,1026
33095,2603
33903,845
33220,118
33906,370
33904,1221
33902,1361
33610,645
33320,902
33210,2376
33025,2724
33430,135
33440,551
33710,2380
11810,1461
11520,282
11420,892
11110,1154
11620,657
11951,951
11320,904
11710,1546
11220,882
43811,1213
43520,531
43540,1012
43711,1318
43530,602
43420,26
43951,1602
43110,141
43120,308
43321,1264
43901,1500
43531,458
43220,1167
43710,628
43810,750
43320,35
74628,901
74623,1334
74626,240
74321,507
74324,329
74627,2315
74624,1141
74210,2572
74640,2702
74711,110
74712,408
74715,1122
74717,1315
51620,773
51620,1496
51620,2719
51903,319
51110,467
51320,1556
51420,659
52710,332
51901,311
51902,1284
51210,689
51340,1023
51621,1210
52620,1210
51951,1272
